userID,A,B
0,4423,2636
1,12879,141262
2,71096,80166
3,1993,15345
4,25803,12619
5,19774,37380
6,58082,51236
7,74217,20609
8,89850,24066
9,21681,24609
10,135656,39668
11,15624,22346
12,5317,44369
13,66288,45573
14,8246,3546
15,1993,15345
16,95188,33087
17,5609,16612
18,32139,24544
19,90252,59106
20,103579,22773
21,182371,189421
22,3273,15058
23,4197,34973
24,78619,40235
25,3314,5822
26,1497,2183
27,4188,2220
28,19226,34158
29,51348,20185
30,16271,33104
31,23766,44275
32,8246,4963
33,15893,94767
34,119745,15891
35,7761,56240
36,18851,27936
37,26929,12552
38,49305,15891
39,14749,13189
40,67345,34721
41,126361,72812
42,1874,1989
43,18666,4150
44,2078,5961
45,45390,23544
46,16427,12754
47,14779,25792
48,39727,7300
49,134566,141851
50,59472,581026
51,1097,1660
52,51348,20185
53,14345,41425
54,23276,37830
55,61083,26359
56,7908,14747
57,3046,377
58,6349,26107
59,32118,3230
60,46077,4535
61,66520,5491
62,113577,22343
63,76334,27290
64,1568,119579
65,14400,79251
66,61021,12348
67,253,36320
68,211235,94767
69,138339,13958
70,40190,6442
71,22523,16461
72,3555,45725
73,21598,2051
74,7481,874
75,7284,21684
76,151744,74635
77,159406,15132
78,34880,37830
79,200777,138468
80,440842,822259
81,45564,15132
82,17246,107100
83,36857,74623
84,32085,71148
85,19816,590
86,45320,34446
87,3837,18942
88,9597,3042
89,47105,26416
90,70836,23544
91,22092,2812
92,20848,6509
93,24083,110310
94,2443,49578
95,200777,138468
96,456,2023
97,9762,2953
98,29309,9272
99,69369,7667
100,94588,4474
101,11991,83971
102,21681,139618
103,49810,148015
104,33853,8668
105,53959,54558
106,103579,83614
107,75835,31047
108,4070,3716
109,102061,65496
110,32688,11678
111,6745,3170
112,3599,3222
113,83373,6965
114,25348,9393
115,94846,163555
116,324,5093
117,22106,4496
118,63201,217563
119,3837,18942
120,8940,20427
121,8846,3085
122,43243,90876
123,196551,358066
124,130381,23523
125,9852,37885
126,143131,91142
